rating,title,text,asin,parent_asin,user_id,timestamp,helpful_votes,verified_purchase,date,time
1,"Excellent Product",excellent product review,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2018-02-27 14:30:00,1,True,2018-02-27,14:30
2,"Good Value",good value for money,good product for the price,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2009-12-11 00:37:33,1,True,2009-12-11,00:37
3,"Neutral",neutral review,middle of the road,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2018-02-27 14:30:00,1,True,2018-02-27,14:30
4,"Great Buy",great buy,great price and quality,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2009-12-11 00:37:33,1,True,2009-12-11,00:37
5,"Disappointing",disappointing experience,bad quality and price,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2018-02-27 14:30:00,1,True,2018-02-27,14:30
6,"Great Product",excellent product review,great price and quality,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2009-12-11 00:37:33,1,True,2018-02-27,14:30
7,"Average",average review,some good some bad,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2018-02-27 14:30:00,1,True,2009-12-11,00:37
8,"Excellent",excellent review,great price and quality,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2009-12-11 00:37:33,1,True,2018-02-27,14:30
9,"Bad Value",bad value for money,bad product and price,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2018-02-27 14:30:00,1,True,2009-12-11,00:37
10,"Great Experience",excellent product review,great price and quality,1234567890,B00012ND5G,B00012ND5G,AGDVFFLJWAQ3ULNNKF4LXID2RVSQ,2009-12-11 00:37:33,1,True,2018-02-27,14:30
